date,region,product,units_sold,unit_price,revenue
2023-01-01,North,Alpha,12,20,229.94
2023-01-01,North,Beta,30,35,1026.54
2023-01-01,North,Gamma,27,50,1446.95
2023-01-01,South,Alpha,14,20,277.62
2023-01-01,South,Beta,17,35,644.67
2023-01-01,South,Gamma,20,50,986.74
2023-01-01,East,Alpha,29,20,569.6
2023-01-01,East,Beta,28,35,1023.6
2023-01-01,East,Gamma,32,50,1575.66
2023-01-01,West,Alpha,17,20,349.43
2023-01-01,West,Beta,2,35,68.24
2023-01-01,West,Gamma,32,50,1659.85
2023-01-02,North,Alpha,26,20,495.16
2023-01-02,North,Beta,30,35,1112.2
2023-01-02,North,Gamma,23,50,1200.4
2023-01-02,South,Alpha,17,20,367.1
2023-01-02,South,Beta,29,35,1096.12
2023-01-02,South,Gamma,17,50,842.93
2023-01-02,East,Alpha,26,20,561.49
2023-01-02,East,Beta,27,35,972.46
2023-01-02,East,Gamma,25,50,1296.86
2023-01-02,West,Alpha,31,20,660.14
2023-01-02,West,Beta,14,35,488.49
2023-01-02,West,Gamma,19,50,907.14
2023-01-03,North,Alpha,38,20,775.39
2023-01-03,North,Beta,20,35,692.04
2023-01-03,North,Gamma,20,50,1007.16
2023-01-03,South,Alpha,16,20,324.51
2023-01-03,South,Beta,13,35,474.33
2023-01-03,South,Gamma,21,50,1125.24
2023-01-03,East,Alpha,15,20,304.68
2023-01-03,East,Beta,17,35,567.23
2023-01-03,East,Gamma,8,50,417.41
2023-01-03,West,Alpha,23,20,467.04
2023-01-03,West,Beta,22,35,778.69
2023-01-03,West,Gamma,18,50,864.5
2023-01-04,North,Alpha,27,20,562.42
2023-01-04,North,Beta,33,35,1171.72
2023-01-04,North,Gamma,16,50,760.71
2023-01-04,South,Alpha,21,20,403.89
2023-01-04,South,Beta,15,35,522.72
2023-01-04,South,Gamma,33,50,1802.74
2023-01-04,East,Alpha,14,20,303.71
2023-01-04,East,Beta,12,35,450.16
2023-01-04,East,Gamma,23,50,1205.54
2023-01-04,West,Alpha,29,20,562.98
2023-01-04,West,Beta,23,35,783.05
2023-01-04,West,Gamma,30,50,1465.3
2023-01-05,North,Alpha,17,20,351.52
2023-01-05,North,Beta,26,35,981.7
2023-01-05,North,Gamma,15,50,753.04
2023-01-05,South,Alpha,17,20,370.49
2023-01-05,South,Beta,17,35,626.66
2023-01-05,South,Gamma,18,50,954.92
2023-01-05,East,Alpha,26,20,513.01
2023-01-05,East,Beta,31,35,1091.07
2023-01-05,East,Gamma,16,50,833.52
2023-01-05,West,Alpha,14,20,297.49
2023-01-05,West,Beta,17,35,650.98
2023-01-05,West,Gamma,14,50,736.34
2023-01-06,North,Alpha,26,20,505.88
2023-01-06,North,Beta,17,35,606.49
2023-01-06,North,Gamma,22,50,1089.89
2023-01-06,South,Alpha,22,20,451.26
2023-01-06,South,Beta,22,35,757.92
2023-01-06,South,Gamma,17,50,929.25
2023-01-06,East,Alpha,31,20,592.19
2023-01-06,East,Beta,33,35,1098.72
2023-01-06,East,Gamma,20,50,1087.6
2023-01-06,West,Alpha,29,20,625.36
2023-01-06,West,Beta,18,35,615.44
2023-01-06,West,Gamma,22,50,1192.74
2023-01-07,North,Alpha,14,20,267.62
2023-01-07,North,Beta,27,35,899.92
2023-01-07,North,Gamma,32,50,1678.23
2023-01-07,South,Alpha,18,20,377.21
2023-01-07,South,Beta,15,35,535.46
2023-01-07,South,Gamma,23,50,1251.67
2023-01-07,East,Alpha,17,20,329.88
2023-01-07,East,Beta,23,35,800.03
2023-01-07,East,Gamma,20,50,967.71
2023-01-07,West,Alpha,18,20,346.78
2023-01-07,West,Beta,19,35,655.65
2023-01-07,West,Gamma,26,50,1262.89
2023-01-08,North,Alpha,24,20,488.96
2023-01-08,North,Beta,21,35,786.97
2023-01-08,North,Gamma,14,50,737.61
2023-01-08,South,Alpha,16,20,333.51
2023-01-08,South,Beta,28,35,1011.98
2023-01-08,South,Gamma,31,50,1598.49
2023-01-08,East,Alpha,36,20,693.0
2023-01-08,East,Beta,20,35,692.77
2023-01-08,East,Gamma,13,50,713.86
2023-01-08,West,Alpha,13,20,264.21
2023-01-08,West,Beta,17,35,635.76
2023-01-08,West,Gamma,32,50,1632.41
2023-01-09,North,Alpha,25,20,479.92
2023-01-09,North,Beta,12,35,407.63
2023-01-09,North,Gamma,21,50,1119.94
2023-01-09,South,Alpha,11,20,222.92
2023-01-09,South,Beta,6,35,209.26
2023-01-09,South,Gamma,13,50,643.63
2023-01-09,East,Alpha,26,20,571.54
2023-01-09,East,Beta,33,35,1177.25
2023-01-09,East,Gamma,23,50,1155.54
2023-01-09,West,Alpha,29,20,614.97
2023-01-09,West,Beta,23,35,782.26
2023-01-09,West,Gamma,25,50,1269.89
2023-01-10,North,Alpha,21,20,424.79
2023-01-10,North,Beta,22,35,815.37
2023-01-10,North,Gamma,4,50,203.99
2023-01-10,South,Alpha,16,20,311.8
2023-01-10,South,Beta,32,35,1121.37
2023-01-10,South,Gamma,15,50,813.69
2023-01-10,East,Alpha,10,20,205.31
2023-01-10,East,Beta,28,35,1023.26
2023-01-10,East,Gamma,0,50,0.0
2023-01-10,West,Alpha,13,20,278.52
2023-01-10,West,Beta,21,35,782.86
2023-01-10,West,Gamma,9,50,429.41
2023-01-11,North,Alpha,1,20,19.46
2023-01-11,North,Beta,29,35,1029.84
2023-01-11,North,Gamma,28,50,1388.63
2023-01-11,South,Alpha,21,20,430.87
2023-01-11,South,Beta,20,35,716.35
2023-01-11,South,Gamma,27,50,1391.94
2023-01-11,East,Alpha,0,20,0.0
2023-01-11,East,Beta,26,35,985.89
2023-01-11,East,Gamma,15,50,819.75
2023-01-11,West,Alpha,5,20,98.49
2023-01-11,West,Beta,8,35,272.25
2023-01-11,West,Gamma,16,50,802.23
2023-01-12,North,Alpha,20,20,433.34
2023-01-12,North,Beta,24,35,916.98
2023-01-12,North,Gamma,11,50,528.96
2023-01-12,South,Alpha,16,20,307.25
2023-01-12,South,Beta,22,35,763.17
2023-01-12,South,Gamma,20,50,1065.27
2023-01-12,East,Alpha,23,20,499.11
2023-01-12,East,Beta,4,35,133.17
2023-01-12,East,Gamma,16,50,771.93
2023-01-12,West,Alpha,26,20,515.1
2023-01-12,West,Beta,6,35,227.19
2023-01-12,West,Gamma,14,50,711.62
2023-01-13,North,Alpha,22,20,458.37
2023-01-13,North,Beta,25,35,924.78
2023-01-13,North,Gamma,27,50,1341.87
2023-01-13,South,Alpha,20,20,402.15
2023-01-13,South,Beta,27,35,936.91
2023-01-13,South,Gamma,17,50,876.11
2023-01-13,East,Alpha,11,20,220.66
2023-01-13,East,Beta,19,35,669.86
2023-01-13,East,Gamma,23,50,1118.96
2023-01-13,West,Alpha,29,20,569.15
2023-01-13,West,Beta,24,35,846.51
2023-01-13,West,Gamma,30,50,1627.72
2023-01-14,North,Alpha,22,20,482.52
2023-01-14,North,Beta,26,35,955.22
2023-01-14,North,Gamma,16,50,822.92
2023-01-14,South,Alpha,6,20,115.63
2023-01-14,South,Beta,25,35,956.98
2023-01-14,South,Gamma,20,50,950.15
2023-01-14,East,Alpha,23,20,494.31
2023-01-14,East,Beta,3,35,110.46
2023-01-14,East,Gamma,20,50,974.49
2023-01-14,West,Alpha,32,20,656.95
2023-01-14,West,Beta,4,35,144.0
2023-01-14,West,Gamma,26,50,1388.79
2023-01-15,North,Alpha,17,20,337.87
2023-01-15,North,Beta,31,35,1164.01
2023-01-15,North,Gamma,5,50,240.77
2023-01-15,South,Alpha,13,20,260.12
2023-01-15,South,Beta,9,35,301.7
2023-01-15,South,Gamma,15,50,742.03
2023-01-15,East,Alpha,27,20,576.46
2023-01-15,East,Beta,22,35,736.15
2023-01-15,East,Gamma,29,50,1484.14
2023-01-15,West,Alpha,35,20,762.47
2023-01-15,West,Beta,23,35,815.67
2023-01-15,West,Gamma,13,50,624.43
2023-01-16,North,Alpha,18,20,380.65
2023-01-16,North,Beta,11,35,387.49
2023-01-16,North,Gamma,24,50,1273.19
2023-01-16,South,Alpha,33,20,655.97
2023-01-16,South,Beta,28,35,954.13
2023-01-16,South,Gamma,12,50,593.89
2023-01-16,East,Alpha,0,20,0.0
2023-01-16,East,Beta,19,35,717.21
2023-01-16,East,Gamma,5,50,261.69
2023-01-16,West,Alpha,17,20,354.82
2023-01-16,West,Beta,8,35,270.0
2023-01-16,West,Gamma,27,50,1351.45
2023-01-17,North,Alpha,8,20,174.03
2023-01-17,North,Beta,23,35,783.88
2023-01-17,North,Gamma,7,50,354.31
2023-01-17,South,Alpha,8,20,159.9
2023-01-17,South,Beta,40,35,1441.08
2023-01-17,South,Gamma,22,50,1188.23
2023-01-17,East,Alpha,26,20,522.34
2023-01-17,East,Beta,31,35,1095.54
2023-01-17,East,Gamma,24,50,1278.05
2023-01-17,West,Alpha,25,20,540.51
2023-01-17,West,Beta,13,35,493.72
2023-01-17,West,Gamma,17,50,928.05
2023-01-18,North,Alpha,21,20,404.74
2023-01-18,North,Beta,9,35,344.07
2023-01-18,North,Gamma,18,50,938.98
2023-01-18,South,Alpha,16,20,323.4
2023-01-18,South,Beta,24,35,840.13
2023-01-18,South,Gamma,19,50,962.83
2023-01-18,East,Alpha,27,20,542.86
2023-01-18,East,Beta,10,35,354.5
2023-01-18,East,Gamma,15,50,812.11
2023-01-18,West,Alpha,16,20,318.11
2023-01-18,West,Beta,25,35,921.95
2023-01-18,West,Gamma,24,50,1233.97
2023-01-19,North,Alpha,14,20,267.13
2023-01-19,North,Beta,18,35,667.02
2023-01-19,North,Gamma,17,50,918.05
2023-01-19,South,Alpha,13,20,285.29
2023-01-19,South,Beta,12,35,442.71
2023-01-19,South,Gamma,17,50,916.27
2023-01-19,East,Alpha,20,20,396.44
2023-01-19,East,Beta,7,35,254.37
2023-01-19,East,Gamma,19,50,930.59
2023-01-19,West,Alpha,23,20,460.61
2023-01-19,West,Beta,28,35,1019.59
2023-01-19,West,Gamma,7,50,372.6
2023-01-20,North,Alpha,17,20,365.73
2023-01-20,North,Beta,21,35,722.52
2023-01-20,North,Gamma,19,50,925.35
2023-01-20,South,Alpha,37,20,785.67
2023-01-20,South,Beta,6,35,220.34
2023-01-20,South,Gamma,21,50,1107.99
2023-01-20,East,Alpha,13,20,263.09
2023-01-20,East,Beta,27,35,965.57
2023-01-20,East,Gamma,16,50,801.15
2023-01-20,West,Alpha,3,20,61.21
2023-01-20,West,Beta,15,35,517.31
2023-01-20,West,Gamma,22,50,1149.25
2023-01-21,North,Alpha,19,20,393.12
2023-01-21,North,Beta,16,35,614.94
2023-01-21,North,Gamma,18,50,939.98
2023-01-21,South,Alpha,11,20,223.54
2023-01-21,South,Beta,11,35,370.95
2023-01-21,South,Gamma,31,50,1639.83
2023-01-21,East,Alpha,12,20,240.83
2023-01-21,East,Beta,9,35,345.68
2023-01-21,East,Gamma,16,50,865.61
2023-01-21,West,Alpha,16,20,342.46
2023-01-21,West,Beta,11,35,379.89
2023-01-21,West,Gamma,12,50,603.46
2023-01-22,North,Alpha,22,20,445.69
2023-01-22,North,Beta,27,35,913.84
2023-01-22,North,Gamma,27,50,1310.06
2023-01-22,South,Alpha,24,20,467.1
2023-01-22,South,Beta,26,35,989.22
2023-01-22,South,Gamma,1,50,54.09
2023-01-22,East,Alpha,20,20,407.95
2023-01-22,East,Beta,23,35,824.18
2023-01-22,East,Gamma,10,50,547.0
2023-01-22,West,Alpha,26,20,520.21
2023-01-22,West,Beta,16,35,561.19
2023-01-22,West,Gamma,15,50,783.14
2023-01-23,North,Alpha,29,20,588.03
2023-01-23,North,Beta,7,35,255.6
2023-01-23,North,Gamma,14,50,729.98
2023-01-23,South,Alpha,21,20,439.25
2023-01-23,South,Beta,7,35,247.31
2023-01-23,South,Gamma,18,50,961.56
2023-01-23,East,Alpha,15,20,316.11
2023-01-23,East,Beta,24,35,909.74
2023-01-23,East,Gamma,29,50,1542.34
2023-01-23,West,Alpha,21,20,432.83
2023-01-23,West,Beta,17,35,609.31
2023-01-23,West,Gamma,34,50,1821.16
2023-01-24,North,Alpha,9,20,175.84
2023-01-24,North,Beta,11,35,372.02
2023-01-24,North,Gamma,22,50,1200.35
2023-01-24,South,Alpha,23,20,444.54
2023-01-24,South,Beta,16,35,575.9
2023-01-24,South,Gamma,12,50,615.16
2023-01-24,East,Alpha,28,20,581.13
2023-01-24,East,Beta,28,35,1027.69
2023-01-24,East,Gamma,27,50,1431.66
2023-01-24,West,Alpha,24,20,481.9
2023-01-24,West,Beta,22,35,734.08
2023-01-24,West,Gamma,14,50,713.81
2023-01-25,North,Alpha,13,20,274.58
2023-01-25,North,Beta,21,35,751.12
2023-01-25,North,Gamma,5,50,267.04
2023-01-25,South,Alpha,32,20,689.51
2023-01-25,South,Beta,15,35,547.81
2023-01-25,South,Gamma,28,50,1346.38
2023-01-25,East,Alpha,21,20,405.05
2023-01-25,East,Beta,27,35,945.83
2023-01-25,East,Gamma,0,50,0.0
2023-01-25,West,Alpha,28,20,546.17
2023-01-25,West,Beta,16,35,534.08
2023-01-25,West,Gamma,7,50,382.44
2023-01-26,North,Alpha,19,20,400.86
2023-01-26,North,Beta,17,35,596.45
2023-01-26,North,Gamma,26,50,1279.4
2023-01-26,South,Alpha,35,20,678.77
2023-01-26,South,Beta,16,35,532.52
2023-01-26,South,Gamma,11,50,557.62
2023-01-26,East,Alpha,25,20,496.37
2023-01-26,East,Beta,15,35,500.75
2023-01-26,East,Gamma,17,50,885.64
2023-01-26,West,Alpha,17,20,373.63
2023-01-26,West,Beta,25,35,954.65
2023-01-26,West,Gamma,22,50,1067.97
2023-01-27,North,Alpha,20,20,393.46
2023-01-27,North,Beta,23,35,853.52
2023-01-27,North,Gamma,0,50,0.0
2023-01-27,South,Alpha,10,20,200.94
2023-01-27,South,Beta,25,35,900.92
2023-01-27,South,Gamma,32,50,1554.09
2023-01-27,East,Alpha,24,20,479.4
